,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
253,Fe12Ni12Co12Pd28_sqsfcc,-6.16508,-394.56499,-0.02549,0.0068,81.36,1.152,73.71,0.0847,13.18,fcc
254,Fe28Ni12Cr12Pd12_sqsfcc,-7.31398,-468.09501,-0.0644,0.07627,78.97,0.921,58.93,0.129,12.36,fcc
255,Fe12Ni28Cr12Pd12_sqsfcc,-6.65498,-425.91875,-0.05906,0.04309,37.67,0.444,28.42,0.0894,12.2,fcc
256,Fe12Ni12Cr28Pd12_sqsfcc,-7.57389,-484.72896,-0.06569,0.13415,29.77,0.342,21.89,0.1453,12.38,fcc
257,Fe12Ni12Cr12Pd28_sqsfcc,-6.61588,-423.4166,-0.08259,0.01956,39.51,0.55,35.21,0.0978,13.57,fcc
258,Fe22Ni14Co14Pd14_sqsfcc,-6.69591,-428.53808,-0.04456,0.01236,125.17,1.528,97.805,0.09829,12.3,fcc
259,Fe14Ni22Co14Pd14_sqsfcc,-6.35408,-406.66081,-0.02956,0.0081,104.06,1.277,81.732,0.09402,12.16,fcc
260,Fe14Ni14Co22Pd14_sqsfcc,-6.5368,-418.35491,-0.01861,0.02132,114.11,1.401,89.668,0.09796,12.16,fcc
261,Fe14Ni14Co14Pd22_sqsfcc,-6.32318,-404.68382,-0.02998,0.00768,94.89,1.266,81.011,0.10415,12.78,fcc
262,Fe22Ni14Cr14Pd14_sqsfcc,-7.16886,-458.80724,-0.0582,0.08024,59.19,0.707,45.219,0.10782,12.46,fcc
263,Fe14Ni22Cr14Pd14_sqsfcc,-6.85515,-438.7298,-0.07132,0.04786,44.4,0.533,34.101,0.11133,12.43,fcc
264,Fe14Ni14Cr22Pd14_sqsfcc,-7.30919,-467.78842,-0.06922,0.0988,34.51,0.409,26.171,0.14472,12.56,fcc
265,Fe14Ni14Cr14Pd22_sqsfcc,-6.83533,-437.46135,-0.08281,0.03637,32.36,0.423,27.068,0.10558,13.13,fcc
266,FeNiCoCr_sqsbcc,-7.49966,-479.97842,0.01433,0.06279,53.66,0.541,34.65,0.5292,10.98,bcc
267,FeNiCoMn_sqsbcc,-7.35532,-470.74051,-0.00679,0.07633,177.77,1.817,116.29,0.1591,11.53,bcc
268,FeCoCrMn_sqsbcc,-8.34508,-534.08529,0.03703,0.09654,130.69,1.297,82.98,0.0432,11.33,bcc
269,FeNiCrMn_sqsbcc,-7.94382,-508.40455,0.04765,0.10593,76.97,0.763,48.82,0.1708,11.3,bcc
270,CrNiCoMn_sqsbcc,-7.67893,-491.45123,-0.01261,0.07051,25.54,0.257,16.43,0.629,11.0,bcc
271,Fe17Ni17Co17Cr13_sqsbcc,-7.38552,-472.67302,0.00383,0.05532,68.29,0.692,44.31,0.8182,11.08,bcc
272,Fe17Co17Mn17Cr13_sqsbcc,-8.28193,-530.04363,0.0298,0.09302,140.87,1.403,89.8,0.0423,11.36,bcc
273,Fe17Co17Cr17Mn13_sqsbcc,-8.30604,-531.58645,0.04705,0.10162,131.53,1.306,83.56,0.0432,11.32,bcc
274,Fe17Ni17Mn17Cr13_sqsbcc,-7.85485,-502.71057,0.04182,0.10373,101.4,1.009,64.56,0.0982,11.44,bcc
275,Fe17Ni17Cr17Mn13_sqsbcc,-7.88205,-504.45117,0.05598,0.10924,74.39,0.738,47.21,0.1737,11.38,bcc
276,Fe17Ni13Co17Mn17_sqsbcc,-7.46261,-477.60704,0.00933,0.09174,187.95,1.918,122.73,0.064,11.58,bcc
277,Fe13Ni17Co17Mn17_sqsbcc,-7.29729,-467.0268,-0.00431,0.08401,167.3,1.712,109.59,0.1151,11.49,bcc
278,Fe17Ni17Co13Mn17_sqsbcc,-7.37968,-472.29961,-0.0054,0.0767,171.45,1.749,111.93,0.0875,11.6,bcc
279,Fe17Ni17Co17Mn13_sqsbcc,-7.25819,-464.52429,-0.00329,0.07637,185.3,1.898,121.5,0.0981,11.58,bcc
280,Fe15Ni15Co15Mn19_sqsbcc,-7.4421,-476.29431,5e-05,0.08664,176.89,1.804,115.44,0.0611,11.54,bcc
281,Fe15Ni19Co15Mn15_sqsbcc,-7.27381,-465.52384,-0.04869,0.03514,133.42,1.366,87.43,0.8013,11.36,bcc
282,Fe19Ni15Co15Mn15_sqsbcc,-7.39869,-473.51616,0.00538,0.0833,188.43,1.923,123.09,0.056,11.58,bcc
283,Fe15Ni15Co19Mn15_sqsbcc,-7.32991,-469.11399,-0.00713,0.07701,179.37,1.837,117.57,0.0695,11.55,bcc
284,Fe15Ni15Co15Cr19_sqsbcc,-7.60854,-486.9466,0.03009,0.07553,37.75,0.379,24.26,0.5261,10.92,bcc
285,Fe12Ni12Co12Mn28_sqsbcc,-7.77906,-497.85971,-0.05605,0.04095,21.78,0.221,14.11,0.5168,10.85,bcc
286,Fe12Ni28Co12Mn12_sqsbcc,-6.91469,-442.54028,-0.05981,0.02615,148.9,1.533,98.08,0.7587,11.4,bcc
287,Fe28Ni12Co12Mn12_sqsbcc,-7.56261,-484.00689,0.00808,0.07042,190.15,1.933,123.7,0.0734,11.55,bcc
288,Fe12Ni12Co28Mn12_sqsbcc,-7.26064,-464.68113,-0.01512,0.07207,187.71,1.934,123.77,0.1288,11.49,bcc
289,Fe12Ni12Cr12Mn28_sqsbcc,-8.21038,-525.4646,-0.00517,0.0732,14.85,0.147,9.4,0.6029,11.05,bcc
290,Fe12Ni28Cr12Mn12_sqsbcc,-7.3646,-471.33435,-0.02751,0.03981,39.67,0.399,25.54,0.5567,11.18,bcc
291,Fe28Ni12Cr12Mn12_sqsbcc,-8.00607,-512.38822,0.04683,0.09053,125.42,1.246,79.72,0.0661,11.39,bcc
292,Fe12Ni12Cr28Mn12_sqsbcc,-8.31111,-531.91128,0.05957,0.10327,53.58,0.523,33.47,0.0905,11.31,bcc
293,FeNiCoPd_sqsbcc,-6.4715,-414.17587,-0.04155,0.01836,108.98,1.365,87.36,0.7823,12.39,bcc
294,FeCoCrPd_sqsbcc,-7.36197,-471.16631,0.10156,0.13786,62.43,0.763,48.84,0.3972,12.62,bcc
295,FeNiCrPd_sqsbcc,-7.02998,-449.91842,0.04292,0.07798,46.63,0.57,36.45,0.6725,12.66,bcc
296,CrNiCoPd_sqsbcc,-6.6974,-428.63349,0.05034,0.11024,45.04,0.556,35.61,0.6388,12.32,bcc
297,Fe19Ni15Co15Pd15_sqsbcc,-6.58776,-421.61668,-0.04486,0.0113,117.07,1.448,92.65,0.7715,12.33,bcc
298,Fe15Ni19Co15Pd15_sqsbcc,-6.416,-410.62377,-0.05205,0.01002,106.32,1.318,84.36,0.8081,12.25,bcc
299,Fe15Ni15Co19Pd15_sqsbcc,-6.50242,-416.15504,-0.04081,0.02156,112.31,1.393,89.14,0.5496,12.23,bcc
300,Fe15Ni15Co15Pd19_sqsbcc,-6.36878,-407.60161,-0.01744,0.04159,102.19,1.322,84.58,0.4744,12.64,bcc
301,Fe28Ni12Co12Pd12_sqsbcc,-6.89895,-441.53254,-0.01719,0.02774,140.82,1.675,107.18,0.6067,12.28,bcc
302,Fe12Ni28Co12Pd12_sqsbcc,-6.23165,-398.8254,-0.06569,0.00285,98.22,1.181,75.56,0.7536,11.98,bcc
303,Fe12Ni12Co28Pd12_sqsbcc,-6.57538,-420.82401,-0.01878,0.051,119.49,1.438,92.0,0.4197,12.04,bcc
304,Fe12Ni12Co12Pd28_sqsbcc,-6.16753,-394.72207,-0.05203,0.00434,80.82,1.144,73.22,0.7694,13.18,bcc
305,Fe28Ni12Cr12Pd12_sqsbcc,-7.30553,-467.55382,0.05843,0.08473,81.56,0.951,60.86,0.32435,12.46,bcc
306,Fe12Ni28Cr12Pd12_sqsbcc,-6.66156,-426.34003,-0.0134,0.03651,48.03,0.566,36.23,0.74137,12.18,bcc
307,Fe12Ni12Cr28Pd12_sqsbcc,-7.56625,-484.23992,0.1155,0.14179,22.37,0.257,16.44,0.47823,12.36,bcc
308,Fe12Ni12Cr12Pd28_sqsbcc,-6.61052,-423.07339,-0.01281,0.02493,47.57,0.662,42.39,0.60257,13.55,bcc
309,FeNiCoCrMn_sqsfcc,-7.76785,-1242.8555,-0.04791,0.07913,61.03,0.613,98.02,0.0757,11.1,fcc
310,Fe31Ni31Co31Cr36Mn31_sqsfcc,-7.81843,-1250.9485,-0.05482,0.08047,52.36,0.524,83.9,0.07,11.1,fcc
311,Fe33Ni33Co33Cr28Mn33_sqsfcc,-7.72166,-1235.4653,-0.0454,0.07341,69.68,0.701,112.16,0.0654,11.39,fcc
312,Fe34Ni34Co34Cr29Mn29_sqsfcc,-7.68322,-1229.3159,-0.04424,0.07627,71.92,0.724,115.85,0.0532,11.12,fcc
313,Fe31Ni31Co31Cr31Mn36_sqsfcc,-7.79653,-1247.4441,-0.03932,0.08602,62.28,0.625,99.97,0.0588,11.06,fcc
314,Fe33Ni33Co33Cr33Mn28_sqsfcc,-7.73112,-1236.9786,-0.04846,0.0803,60.53,0.608,97.28,0.057,11.06,fcc
315,Fe31Ni36Co31Cr31Mn31_sqsfcc,-7.69864,-1231.7829,-0.04907,0.07401,62.13,0.625,99.93,0.0574,11.14,fcc
316,Fe33Ni28Co33Cr33Mn33_sqsfcc,-7.83904,-1254.2464,-0.04875,0.08227,55.79,0.559,89.48,0.0616,11.07,fcc
317,Fe31Ni31Co36Cr31Mn31_sqsfcc,-7.74693,-1239.5091,-0.26825,0.0747,41.94,0.422,67.47,0.0546,11.05,fcc
318,Fe33Ni33Co28Cr33Mn33_sqsfcc,-7.79333,-1246.9332,-0.05146,0.07899,60.44,0.606,96.92,0.062,11.13,fcc
