,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
19,FeMn_sqsfcc,-8.51533313,-136.24533,-0.01739,0.0958,46.791,0.464,7.423,0.0468,10.77,fcc
20,Fe3Mn_sqsfcc,-8.3260225,-133.21636,-0.03551,0.09812,78.698,0.783,12.536,0.0476,10.93,fcc
21,CoMn3_sqsfcc,-8.425925,-134.8148,0.01312,0.07188,17.093,0.171,2.738,0.0533,10.82,fcc
22,CoMn_sqsfcc,-7.92935813,-126.86973,0.03594,0.08115,25.444,0.252,4.036,0.0263,10.64,fcc
23,Co3Mn_sqsfcc,-7.4302175,-118.88348,0.06134,0.093,118.339,1.227,19.635,0.0301,10.87,fcc
24,CoCr3_sqsfcc,-8.78356313,-140.53701,-0.19095,0.10665,49.507,0.476,7.618,0.415,11.36,fcc
25,CoCr_sqsfcc,-8.14893125,-130.3829,-0.08125,0.12318,11.928,0.118,1.895,0.0896,10.9,fcc
26,Co3Cr_sqsfcc,-7.55626188,-120.90019,-0.01352,0.09775,65.566,0.671,10.741,0.0199,10.77,fcc
27,CrMn3_sqsfcc,-9.02775688,-144.44411,-0.06377,0.08814,53.192,0.516,8.257,0.401,11.01,fcc
28,CrMn_sqsfcc,-9.19481188,-147.11699,-0.17964,0.05189,3.238,0.031,0.496,0.4239,11.13,fcc
29,Cr3Mn_sqsfcc,-9.34905625,-149.5849,-0.28269,0.02845,0.062,0.001,0.009,0.4077,11.31,fcc
30,NiPd3_sqsfcc,-5.25840431,-84.134469,0.02215,0.02215,26.482,0.448,7.166,0.071,14.31,fcc
31,NiPd_sqsfcc,-5.30175313,-84.82805,0.04142,0.04142,52.307,0.518,8.291,0.0907,13.25,fcc
32,Ni3Pd_sqsfcc,-5.37080281,-85.932845,0.03499,0.03499,45.37,0.574,9.177,0.0938,12.07,fcc
33,FePd3_sqsfcc,-6.04703381,-96.752541,-0.11281,-0.0743,60.007,1.007,16.116,0.0773,14.62,fcc
34,FePd_sqsfcc,-6.75023188,-108.00371,-0.09972,-0.02269,109.492,1.59,25.441,0.0912,13.84,fcc
35,Fe3Pd_sqsfcc,-7.4540525,-119.26484,-0.08725,0.0283,172.418,2.114,33.819,0.4612,12.9,fcc
36,CoPd3_sqsfcc,-5.65200475,-90.432076,0.01589,0.02042,43.637,0.739,11.816,0.0791,14.34,fcc
37,CoPd_sqsfcc,-6.07160025,-97.145604,0.04627,0.05532,72.735,1.076,17.222,0.1101,13.29,fcc
38,Co3Pd_sqsfcc,-6.52387938,-104.38207,0.04396,0.05754,108.266,1.372,21.954,0.1123,12.11,fcc
39,CrPd3_sqsfcc,-6.28817313,-100.61077,-0.09534,0.00235,12.754,0.212,3.39,0.1389,14.42,fcc
40,CrPd_sqsfcc,-7.26537563,-116.24601,-0.09763,0.09774,0.001,0.0,0.0,0.4971,13.59,fcc
41,Cr3Pd_sqsfcc,-8.2735475,-132.37676,-0.1309,0.16216,-0.695,-0.008,-0.131,0.3703,12.6,fcc
42,NiFe3_sqsbcc,-7.53636063,-120.58177,-0.015,0.00862,206.62,2.092,33.467,0.0215,11.54,bcc
43,NiFe_sqsbcc,-6.8685,-109.896,-0.06294,-0.01571,159.042,1.63,26.085,0.4728,11.36,bcc
44,Ni3Fe_sqsbcc,-6.20181644,-99.229063,-0.11206,-0.04121,109.494,1.136,18.182,0.8412,11.11,bcc
45,NiCo3_sqsbcc,-6.548455,-104.77528,-0.00257,0.09559,136.776,1.441,23.062,0.2511,11.04,bcc
46,NiCo_sqsbcc,-6.25492563,-100.07881,-0.09968,-0.00276,110.831,1.167,18.668,0.4226,10.86,bcc
47,Ni3Co_sqsbcc,-5.86600688,-93.85611,-0.10141,-0.00571,84.109,0.885,14.153,0.84,10.85,bcc
48,NiMn3_sqsbcc,-8.03275563,-128.52409,-0.05442,0.07317,19.793,0.198,3.167,0.7435,11.32,bcc
49,NiMn_sqsbcc,-7.18996625,-115.03946,-0.07976,0.03679,1.079,0.011,0.176,0.4831,10.88,bcc
50,Ni3Mn_sqsbcc,-6.36713125,-101.8741,-0.12505,-0.01954,122.716,1.269,20.298,0.7936,11.43,bcc
51,NiCr3_sqsbcc,-8.40346875,-134.4555,0.07125,0.09487,0.003,0.0,0.001,0.0681,11.35,bcc
52,NiCr_sqsbcc,-7.39284625,-118.28554,0.04829,0.09552,13.132,0.13,2.082,0.3339,11.15,bcc
53,Ni3Cr_sqsbcc,-6.4546625,-103.2746,-0.04712,0.02373,20.829,0.213,3.401,0.7854,11.0,bcc
54,FeCo3_sqsbcc,-7.3005125,-116.8082,-0.03883,0.03572,187.823,1.955,31.285,0.0307,11.21,bcc
55,FeCo_sqsbcc,-7.645535,-122.32856,-0.05869,-0.00899,211.236,2.17,34.718,0.0218,11.4,bcc
56,Fe3Co_sqsbcc,-7.9638575,-127.42172,-0.05185,-0.02701,230.255,2.333,37.335,0.0116,11.5,bcc
57,FeCr3_sqsbcc,-9.126115,-146.01784,0.06441,0.06441,49.703,0.471,7.538,0.0284,11.39,bcc
58,FeCr_sqsbcc,-8.79082125,-140.65314,0.08191,0.08191,99.189,0.983,15.735,0.025,11.34,bcc
59,Fe3Cr_sqsbcc,-8.5092925,-136.14868,0.04566,0.04566,155.546,1.528,24.449,0.0297,11.4,bcc
60,FeMn3_sqsbcc,-8.663975,-138.6236,0.03016,0.13414,115.122,1.137,18.188,0.0943,11.19,bcc
61,FeMn_sqsbcc,-8.5197125,-136.3154,0.0221,0.09142,149.825,1.485,23.768,0.0354,11.21,bcc
62,Fe3Mn_sqsbcc,-8.37283313,-133.96533,0.01665,0.05131,184.417,1.836,29.375,0.0176,11.27,bcc
63,CoMn3_sqsbcc,-8.3730675,-133.96908,-0.00409,0.12474,123.856,1.24,19.842,0.0707,11.37,bcc
64,CoMn_sqsbcc,-7.91675813,-126.66813,-0.02526,0.09375,151.479,1.544,24.7,0.1056,11.67,bcc
65,Co3Mn_sqsbcc,-7.42820438,-118.85127,0.00239,0.09501,196.941,2.042,32.676,0.0343,11.44,bcc
66,CoCr3_sqsbcc,-8.79148438,-140.66375,0.07388,0.09872,25.437,0.245,3.914,0.0631,11.28,bcc
67,CoCr_sqsbcc,-8.12625438,-130.02007,0.09616,0.14586,59.286,0.589,9.417,0.1919,11.07,bcc
68,Co3Cr_sqsbcc,-7.47937688,-119.67003,0.1001,0.17464,134.698,1.379,22.065,0.8039,11.13,bcc
69,CrMn3_sqsbcc,-9.02796188,-144.44739,-0.01604,0.08794,37.248,0.361,5.782,0.1029,11.1,bcc
70,CrMn_sqsbcc,-9.19279313,-147.08469,-0.01541,0.05391,30.094,0.288,4.608,0.0502,11.13,bcc
71,Cr3Mn_sqsbcc,-9.35075375,-149.61206,-0.00791,0.02675,4.934,0.047,0.745,0.0395,11.28,bcc
72,NiPd3_sqsbcc,-5.26226463,-84.196234,-0.03966,0.01829,24.574,0.416,6.65,0.905,14.3,bcc
73,NiPd_sqsbcc,-5.31054081,-84.968653,-0.03748,0.03263,52.003,0.515,8.243,0.5532,13.24,bcc
74,Ni3Pd_sqsbcc,-5.37655788,-86.024926,-0.05305,0.02924,45.982,0.581,9.301,0.8387,12.06,bcc
75,FePd3_sqsbcc,-6.05232325,-96.837172,-0.11392,-0.07958,59.4,0.997,15.953,0.9042,14.62,bcc
76,FePd_sqsbcc,-6.75122688,-108.01963,-0.04657,-0.02368,109.629,1.592,25.473,0.5287,13.86,bcc
77,Fe3Pd_sqsbcc,-7.45404125,-119.26466,0.01687,0.02831,171.822,2.106,33.702,0.0906,12.86,bcc
78,CoPd3_sqsbcc,-5.62085256,-89.933641,-0.0076,0.05157,30.032,0.508,8.132,0.9587,14.28,bcc
79,CoPd_sqsbcc,-6.08015781,-97.282525,-0.02582,0.04677,73.893,1.094,17.496,0.4996,13.29,bcc
80,Co3Pd_sqsbcc,-6.52942563,-104.47081,-0.03399,0.052,108.757,1.378,22.054,0.8492,12.08,bcc
81,CrPd3_sqsbcc,-6.25433188,-100.06931,0.00186,0.03619,25.581,0.425,6.8,0.9224,14.83,bcc
82,CrPd_sqsbcc,-7.23137375,-115.70198,0.10886,0.13174,9.444,0.09,1.446,0.3776,13.69,bcc
83,Cr3Pd_sqsbcc,-8.27481625,-132.39706,0.14945,0.1609,0.027,0.0,0.005,0.1565,12.56,bcc
84,FeNiCo_sqsfcc,-6.91635,-165.99239,-0.05991,-0.00252,155.75,1.612,38.69,0.0348,11.149,fcc
85,FeCrCo_sqsfcc,-8.152131,-195.65115,-0.07931,0.10833,64.96,0.646,15.51,0.0495,10.965,fcc
86,FeNiCr_sqsfcc,-7.66065,-183.85561,-0.1043,0.07731,54.44,0.541,12.98,0.1156,11.114,fcc
87,NiCrCo_sqsfcc,-7.266618,-174.39884,-0.06536,0.07093,30.38,0.307,7.38,0.0534,10.876,fcc
88,FeNiMn_sqsfcc,-7.526085,-180.62605,-0.03798,0.03747,89.26,0.903,21.66,0.0468,11.22,fcc
89,FeCoMn_sqsfcc,-8.008449,-192.20278,-0.00389,0.07761,64.8,0.656,15.75,0.0366,10.79,fcc
90,FeCrMn_sqsfcc,-8.769235,-210.46164,-0.06475,0.14095,16.19,0.157,3.77,0.0606,10.97,fcc
91,NiCrMn_sqsfcc,-7.879455,-189.10693,-0.04653,0.10782,25.87,0.256,6.14,0.1875,11.08,fcc
92,NiCoMn_sqsfcc,-7.095757,-170.29817,0.03725,0.06739,95.5,0.983,23.6,0.0447,10.93,fcc
93,CoCrMn_sqsfcc,-8.395385,-201.48923,-0.046,0.11439,16.98,0.168,4.03,0.0988,10.83,fcc
94,Fe2NiCo_sqsfcc,-7.230369,-231.37181,-0.06727,0.0143,179.93,1.846,59.08,0.0996,11.329,fcc
95,FeNi2Co_sqsfcc,-6.570747,-210.26389,-0.06131,-0.01827,133.23,1.384,44.29,0.0261,11.074,fcc
96,FeNiCo2_sqsfcc,-6.943223,-222.18313,-0.04644,0.00113,155.95,1.622,51.9,0.0301,11.072,fcc
97,Fe2CrCo_sqsfcc,-8.149505,-260.78415,-0.07412,0.10513,87.0,0.867,27.73,0.0495,11.053,fcc
98,FeCr2Co_sqsfcc,-8.443097,-270.17911,-0.1091,0.12933,36.83,0.361,11.54,0.3827,11.057,fcc
99,FeCrCo2_sqsfcc,-7.867185,-251.74992,-0.05812,0.08714,73.48,0.742,23.75,0.0453,10.959,fcc
100,Fe2NiCr_sqsfcc,-7.783773,-249.08072,-0.09573,0.07899,70.68,0.703,22.51,0.0738,11.241,fcc
101,FeNi2Cr_sqsfcc,-7.133205,-228.26256,-0.09883,0.03737,44.6,0.449,14.38,0.0563,11.218,fcc
102,FeNiCr2_sqsfcc,-8.072793,-258.32936,-0.12614,0.10776,28.85,0.282,9.03,0.4861,11.236,fcc
103,Ni2CrCo_sqsfcc,-6.809536,-217.90514,-0.04149,0.06073,40.31,0.412,13.18,0.0378,10.927,fcc
104,NiCr2Co_sqsfcc,-7.768975,-248.6072,-0.08864,0.11126,8.0,0.079,2.54,0.1783,11.068,fcc
105,NiCrCo2_sqsfcc,-7.185899,-229.94877,-0.0305,0.07624,49.41,0.505,16.17,0.0416,10.928,fcc
106,Ni2CoMn_sqsfcc,-6.698218,-214.34299,0.01864,0.04124,129.03,1.335,42.73,0.0442,11.22,fcc
107,NiCo2Mn_sqsfcc,-7.066978,-226.1433,0.03723,0.06436,127.63,1.322,42.31,0.0567,11.14,fcc
108,NiCoMn2_sqsfcc,-7.560907,-241.94901,0.01705,0.05773,65.34,0.665,21.29,0.0643,11.09,fcc
109,Ni2CrMn_sqsfcc,-7.305894,-233.78862,-0.0641,0.05167,23.58,0.244,7.81,0.1123,11.36,fcc
110,NiCr2Mn_sqsfcc,-8.266164,-264.51725,-0.11208,0.10137,3.3,0.032,1.03,0.5211,11.18,fcc
111,NiCrMn2_sqsfcc,-8.151689,-260.85404,-0.0488,0.08504,18.73,0.185,5.91,0.0672,11.21,fcc
112,Fe2NiMn_sqsfcc,-7.67722,-245.67104,-0.04037,0.05474,104.85,1.057,33.83,0.0482,11.2,fcc
113,FeNi2Mn_sqsfcc,-6.99907,-223.97023,-0.01589,0.0407,124.14,1.268,40.56,0.0692,11.39,fcc
114,FeNiMn2_sqsfcc,-7.827996,-250.49586,0.01628,0.09095,70.2,0.705,22.56,0.0546,11.13,fcc
115,Fe2CoMn_sqsfcc,-8.016736,-256.53555,0.00746,0.1071,96.51,0.974,31.17,0.0452,10.92,fcc
116,FeCo2Mn_sqsfcc,-7.756131,-248.19618,0.00174,0.06739,94.21,0.964,30.85,0.0332,10.98,fcc
117,FeCoMn2_sqsfcc,-8.206511,-262.60836,0.02511,0.10431,45.19,0.454,14.54,0.0533,10.91,fcc
118,Fe2CrMn_sqsfcc,-8.613247,-275.62389,-0.06411,0.12869,44.99,0.44,14.09,0.0449,11.02,fcc
119,FeCr2Mn_sqsfcc,-8.990837,-287.70679,-0.18309,0.06888,70.56,0.678,21.7,0.5174,11.28,fcc
120,FeCrMn2_sqsfcc,-8.830458,-282.57467,-0.0739,0.09846,19.96,0.194,6.22,0.472,11.01,fcc
121,Co2CrMn_sqsfcc,-8.042401,-257.35684,-0.02591,0.09891,16.59,0.167,5.34,0.0436,10.69,fcc
122,CoCr2Mn_sqsfcc,-8.663609,-277.23549,-0.12218,0.0958,19.1,0.186,5.96,0.4668,11.15,fcc
123,CoCrMn2_sqsfcc,-8.521191,-272.67812,-0.03095,0.10741,19.64,0.194,6.21,0.0661,11.1,fcc
124,FeNiPd_sqsfcc,-6.33119,-151.94856,-0.07471,-0.02335,95.17,1.255,30.11,0.1941,12.852,fcc
125,FeCoPd_sqsfcc,-6.816923,-163.60616,-0.04398,0.01341,123.6,1.631,39.15,0.9339,12.887,fcc
126,FeCrPd_sqsfcc,-7.524609,-180.59061,-0.05175,0.12986,46.25,0.591,14.19,0.9593,13.227,fcc
127,NiCrPd_sqsfcc,-6.645505,-159.49212,-0.0442,0.08605,12.49,0.162,3.88,0.2375,12.85,fcc
128,NiCoPd_sqsfcc,-5.860922,-140.66212,0.04046,0.0465,68.69,0.918,22.04,0.1613,12.52,fcc
129,CrCoPd_sqsfcc,-7.110613,-170.65471,0.00715,0.14344,28.57,0.37,8.89,0.2818,12.68,fcc
130,Fe2NiPd_sqsfcc,-6.783189,-217.06206,-0.07006,0.00698,130.3,1.614,51.65,0.0821,12.64,fcc
131,FeNi2Pd_sqsfcc,-6.113238,-195.62362,-0.05377,-0.01526,87.78,1.098,35.15,0.0943,12.36,fcc
132,FeNiPd2_sqsfcc,-6.065646,-194.10067,-0.0688,-0.03029,72.57,1.063,34.02,0.0896,13.598,fcc
133,Fe2CrPd_sqsfcc,-7.692531,-246.161,-0.06712,0.10761,67.39,0.815,26.07,0.1241,12.84,fcc
134,FeCr2Pd_sqsfcc,-7.951368,-254.44378,-0.06734,0.16656,26.84,0.32,10.23,0.3918,12.83,fcc
135,FeCrPd2_sqsfcc,-6.997534,-223.9211,-0.08841,0.0478,46.51,0.667,21.36,0.1102,14.07,fcc
136,Fe2CoPd_sqsfcc,-7.146475,-228.68721,-0.046,0.03557,150.5,1.866,59.71,0.751,12.65,fcc
137,FeCo2Pd_sqsfcc,-6.839327,-218.85847,-0.00517,0.04241,128.61,1.612,51.59,0.1098,12.38,fcc
138,FeCoPd2_sqsfcc,-6.422351,-205.51524,-0.03816,0.00488,91.0,1.334,42.69,0.0962,13.56,fcc
139,Ni2CrPd_sqsfcc,-6.349843,-203.19497,-0.03176,0.06593,15.89,0.196,6.28,0.1046,12.29,fcc
140,NiCr2Pd_sqsfcc,-7.285395,-233.13263,-0.05503,0.14035,23.71,0.286,9.14,0.2397,12.9,fcc
141,NiCrPd2_sqsfcc,-6.319172,-202.2135,-0.06371,0.03397,33.46,0.484,15.5,0.093,13.65,fcc
142,Ni2CoPd_sqsfcc,-5.761161,-184.35716,0.03198,0.03651,67.0,0.848,27.13,0.0901,12.09,fcc
143,NiCo2Pd_sqsfcc,-6.143783,-196.60104,0.03671,0.04576,87.81,1.112,35.58,0.1112,12.11,fcc
144,NiCoPd2_sqsfcc,-5.697568,-182.32218,0.03295,0.03748,53.9,0.797,25.51,0.0916,13.27,fcc
145,Cr2CoPd_sqsfcc,-7.644629,-244.62812,-0.02692,0.17299,5.73,0.069,2.21,0.4178,12.29,fcc
146,CrCo2Pd_sqsfcc,-7.067153,-226.1489,0.02562,0.13237,47.9,0.592,18.95,0.1222,12.29,fcc
147,CrCoPd2_sqsfcc,-6.654645,-212.94865,-0.01184,0.09038,53.94,0.782,25.01,0.1073,13.7,fcc
148,FeNiCo_sqsbcc,-6.9176694,-249.0361,-0.06845,-0.00384,157.08,1.63,58.53,0.5774,11.16,bcc
149,FeCrCo_sqsbcc,-8.1573281,-293.66381,0.07,0.10313,122.16,1.22,43.76,0.0576,11.26,bcc
150,FeNiCr_sqsbcc,-7.6578089,-275.68112,0.04867,0.08015,29.22,0.29,10.45,0.4717,11.01,bcc
151,NiCrCo_sqsbcc,-7.2727894,-261.82042,0.00014,0.06476,28.79,0.29,10.49,0.4735,10.88,bcc
152,FeNiMn_sqsbcc,-7.4732014,-269.03525,0.01266,0.09036,98.04,0.99,35.69,0.5818,11.51,bcc
153,FeCoMn_sqsbcc,-8.0064697,-288.23291,0.00025,0.07959,190.19,1.93,69.33,0.0345,11.42,bcc
154,FeCrMn_sqsbcc,-8.8383325,-318.17997,0.02564,0.07186,102.28,0.99,35.76,0.0358,11.26,bcc
155,NiCrMn_sqsbcc,-7.8963328,-284.26798,0.01324,0.09094,17.29,0.17,6.15,0.5401,11.2,bcc
156,NiCoMn_sqsbcc,-7.0966417,-255.4791,-0.04433,0.0665,117.46,1.21,43.54,0.6577,11.21,bcc
157,CoCrMn_sqsbcc,-8.4048253,-302.57371,0.02561,0.10495,64.24,0.64,22.89,0.0835,11.21,bcc
158,Fe2NiCo_sqsbcc,-7.2337438,-231.4798,-0.03754,0.01092,183.87,1.89,60.38,0.1818,11.39,bcc
159,FeNi2Co_sqsbcc,-6.5722428,-210.31177,-0.09184,-0.01976,132.83,1.38,44.16,0.6413,11.09,bcc
160,FeNiCo2_sqsbcc,-6.9449434,-222.23819,-0.0739,-0.00059,154.93,1.61,51.56,0.5577,11.08,bcc
161,Fe2CrCo_sqsbcc,-8.1818675,-261.81976,0.04792,0.07277,148.31,1.48,47.28,0.0456,11.33,bcc
162,FeCr2Co_sqsbcc,-8.4586588,-270.67708,0.08892,0.11376,93.43,0.91,29.27,0.0456,11.29,bcc
163,FeCrCo2_sqsbcc,-7.8473972,-251.11671,0.05723,0.10693,98.1,0.99,31.71,0.3144,11.13,bcc
164,Fe2NiCr_sqsbcc,-7.790455,-249.29456,0.05537,0.07231,100.64,1.0,32.05,0.1777,11.37,bcc
165,FeNi2Cr_sqsbcc,-7.1334263,-228.26964,-0.66043,0.03715,50.08,0.5,16.15,0.4206,11.17,bcc
166,FeNiCr2_sqsbcc,-8.0696681,-258.22938,0.37316,0.11088,35.23,0.34,11.03,0.2248,11.21,bcc
167,Ni2CrCo_sqsbcc,-6.8314659,-218.60691,-0.03328,0.0388,30.16,0.31,9.86,0.4227,10.9,bcc
168,NiCr2Co_sqsbcc,-7.7814191,-249.00541,0.05036,0.09882,6.84,0.07,2.17,0.2994,11.03,bcc
169,NiCrCo2_sqsbcc,-7.2133775,-230.82808,-0.02455,0.04876,46.25,0.47,15.14,0.4175,10.83,bcc
170,Ni2CoMn_sqsbcc,-6.7388191,-215.64221,-0.10609,0.00064,99.43,1.03,32.93,0.5393,11.22,bcc
171,NiCo2Mn_sqsbcc,-7.1054091,-227.37309,-0.08204,0.02593,108.6,1.13,36.0,0.4271,11.04,bcc
172,NiCoMn2_sqsbcc,-7.5347803,-241.11297,-0.03393,0.08385,41.6,0.42,13.55,0.6435,11.06,bcc
173,Ni2CrMn_sqsbcc,-7.3323131,-234.63402,-0.05664,0.02525,35.64,0.37,11.8,0.4384,11.28,bcc
174,NiCr2Mn_sqsbcc,-8.2534966,-264.11189,0.05576,0.11404,8.11,0.08,2.53,0.1899,11.58,bcc
175,NiCrMn2_sqsbcc,-8.1578841,-261.05229,-0.01409,0.07885,2.71,0.03,0.86,0.3605,11.02,bcc
176,Fe2NiMn_sqsbcc,-7.642715,-244.56688,0.03097,0.08925,178.09,1.8,57.46,0.0713,11.5,bcc
177,FeNi2Mn_sqsbcc,-7.0322909,-225.03331,-0.07441,0.00748,108.04,1.1,35.3,0.6348,11.41,bcc
178,FeNiMn2_sqsbcc,-7.8796866,-252.14997,-0.05368,0.03926,27.66,0.28,8.89,0.5528,10.92,bcc
179,Fe2CoMn_sqsbcc,-8.0697194,-258.23102,-0.00539,0.05412,197.69,2.0,63.85,0.0249,11.38,bcc
180,FeCo2Mn_sqsbcc,-7.7533822,-248.10823,-0.01421,0.07014,204.85,2.1,67.07,0.0397,11.51,bcc
181,FeCoMn2_sqsbcc,-8.2120906,-262.7869,0.00456,0.09873,158.54,1.59,51.0,0.0389,11.36,bcc
182,Fe2CrMn_sqsbcc,-8.6733303,-277.54657,0.03394,0.0686,128.93,1.26,40.36,0.0328,11.26,bcc
183,FeCr2Mn_sqsbcc,-8.9927944,-287.76942,0.03226,0.06692,69.7,0.67,21.44,0.0357,11.27,bcc
184,FeCrMn2_sqsbcc,-8.8486309,-283.15619,0.01097,0.08029,96.58,0.94,30.11,0.044,11.17,bcc
185,Co2CrMn_sqsbcc,-8.0199356,-256.63794,0.03702,0.12137,114.48,1.15,36.85,0.1175,11.24,bcc
186,CoCr2Mn_sqsbcc,-8.6633181,-277.22618,0.03658,0.09609,52.76,0.51,16.46,0.1077,11.32,bcc
187,CoCrMn2_sqsbcc,-8.5232963,-272.74548,0.01114,0.10531,91.94,0.91,29.07,0.0584,11.24,bcc
188,FeNiPd_sqsbcc,-6.3282997,-227.81879,-0.06721,-0.02046,96.18,1.9,45.65,0.66068,12.86,bcc
189,FeCoPd_sqsbcc,-6.7978553,-244.72279,-0.01591,0.03248,121.91,2.41,57.92,0.63942,12.88,bcc
190,FeCrPd_sqsbcc,-7.5379836,-271.36741,0.15184,0.17472,57.66,1.11,26.53,0.34555,13.4,bcc
191,NiCrPd_sqsbcc,-6.6773078,-240.38308,0.0075,0.05424,15.48,0.3,7.22,0.68389,12.99,bcc
192,NiCoPd_sqsbcc,-5.8665658,-211.19637,-0.03902,0.04086,69.65,1.4,33.52,0.59242,12.49,bcc
193,CrCoPd_sqsbcc,-7.1049325,-255.77757,0.10073,0.14912,37.07,0.48,17.31,0.73254,12.76,bcc
194,Fe2NiPd_sqsbcc,-6.7763634,-216.84363,-0.02125,0.0138,130.88,1.62,51.88,0.38098,12.68,bcc
195,FeNi2Pd_sqsbcc,-6.1178281,-195.7705,-0.07852,-0.01985,87.87,1.1,35.19,0.68635,12.35,bcc
196,FeNiPd2_sqsbcc,-6.0722119,-194.31078,-0.08335,-0.03685,73.18,1.07,34.31,0.62186,13.53,bcc
197,Fe2CrPd_sqsbcc,-7.6974528,-246.31849,0.09124,0.10269,75.33,0.91,29.14,0.39157,12.88,bcc
198,FeCr2Pd_sqsbcc,-7.9664113,-254.92516,0.14007,0.15152,46.78,0.56,17.83,0.25148,12.86,bcc
199,FeCrPd2_sqsbcc,-6.9984775,-223.95128,0.02397,0.04685,48.34,0.69,22.2,0.69751,13.97,bcc
200,Fe2CoPd_sqsbcc,-7.1423113,-228.55396,0.00344,0.03973,152.35,1.89,60.44,0.16841,12.71,bcc
201,FeCo2Pd_sqsbcc,-6.8090416,-217.88933,0.01155,0.07269,131.58,1.65,52.78,0.27701,12.49,bcc
202,FeCoPd2_sqsbcc,-6.4269722,-205.66311,-0.04747,0.00026,90.48,1.33,42.45,0.70376,13.56,bcc
203,Ni2CrPd_sqsbcc,-6.3777194,-204.08702,-0.02063,0.03805,12.99,0.16,5.13,0.66509,12.36,bcc
204,NiCr2Pd_sqsbcc,-7.3020909,-233.66691,0.08859,0.12365,3.84,0.05,1.48,0.37465,12.4,bcc
205,NiCrPd2_sqsbcc,-6.3201772,-202.24567,-0.01353,0.03297,27.93,0.4,12.94,0.69055,13.65,bcc
206,Ni2CoPd_sqsbcc,-5.7511934,-184.03819,-0.03704,0.04648,68.82,0.87,27.86,0.46574,12.12,bcc
207,NiCo2Pd_sqsbcc,-6.1154634,-195.69483,-0.01067,0.07408,89.66,1.14,36.33,0.44694,12.19,bcc
208,NiCoPd2_sqsbcc,-5.7041694,-182.53342,-0.04047,0.03088,53.51,0.79,25.32,0.70405,13.25,bcc
209,Cr2CoPd_sqsbcc,-7.6513575,-244.84344,0.12997,0.16626,2.86,0.03,1.1,0.38241,12.24,bcc
